Location ,Month,speed_mean,speed_std,drct_mean,drct_std,peak_wind_gust_mean,peak_wind_gust_std,peak_wind_drct_mean,peak_wind_drct_std
DCA,May,7.94024419003516,4.74781259718557,188.996387531086,114.094928538812,5.85843302461195,11.8600194916271,58.2901873767258,119.94158805898
DCA,June,7.82026898882107,4.59201581369012,187.976796263895,112.492445944159,5.18003374603217,11.331329753739,51.312978866436,114.081084193058
DCA,July,7.62356836418224,4.47896597505172,187.170257027684,111.020600777277,4.87662594966128,11.1268154266116,47.4453063681599,110.050661511188
DCA,August,7.42592932614465,4.39186713255987,185.061042581248,110.234070114215,4.50306631724782,10.7789074180581,43.0083292994374,105.243652020452
DCA,September,7.32169435688384,4.31768944695204,181.492279525039,110.966699377347,4.21601331974498,10.469688250682,39.8852297774512,101.854014444497
DCA,October,7.28608818971795,4.31349602880727,181.547919552754,111.25058393097,4.08749705687486,10.320152416141,38.5238105667774,100.435964859451
DCA,November,7.28793289079262,4.32968136347599,182.594853205063,111.723145380022,4.10307274037009,10.3254591360476,38.7822901094474,100.64507183367
DCA,December,7.25023415967855,4.32429423738576,182.609847178712,112.497741022549,4.07115030483555,10.268296545399,38.7107155870866,100.634698228736
ORD,January,8.79621921149614,4.5373655001307,214.833099133016,99.6427952713895,7.0824031603786,12.3445187629602,55.7350796722963,108.755764143724
ORD,February,8.89754153904534,4.57241954463597,214.03802889437,102.362040219758,6.71783265118044,12.2548910808473,51.2751741522782,104.410303047306
ORD,March,9.01255526245645,4.76100651730852,199.683361060303,106.876114299847,7.43028888133163,12.7475010255769,53.8651090543111,104.007594017149
ORD,April,8.98039001698395,4.80395252771497,192.050351615521,109.383955861165,7.56939205642218,12.8392890857687,54.0457952785981,104.496873591788
ORD,May,8.78303109159415,4.75539306258986,182.29004364208,110.276907131965,7.05642568648179,12.552632457503,49.9786397766392,101.365230505802
ORD,June,8.5504795557799,4.69277548213724,176.812982260041,110.117362341573,6.56459129588231,12.2686943239954,47.2371006706569,99.5418086877681
ORD,July,8.34597052222402,4.61188059933888,175.229760059233,110.211308966629,6.04928773610372,11.9188165666169,43.713374518923,96.9316623437813
ORD,August,8.10737801561481,4.56919703587724,174.64447755244,110.068772980075,5.70058884936199,11.7082188886197,41.2824956672443,94.823889883568
ORD,September,8.05322919165267,4.52563194632022,173.511333653154,109.330233218149,5.49130187095226,11.51129327102,40.0107639721755,93.4054271588717
ORD,October,8.05005232239453,4.51467419277998,175.333036193808,109.080536521475,5.479561045562,11.5019996921989,40.3569550027407,93.7585725793897
ORD,November,8.05457026276793,4.51532913941116,177.409158266023,108.827030182332,5.49465959134264,11.5143129150642,40.7931041679711,94.20503749495
ORD,December,8.03288321555512,4.49917136661505,178.89933976688,108.562972807215,5.42264305668421,11.4435255303275,40.278345193488,93.6487798489846
DFW,January,9.16795351214656,5.21234668014934,192.668747141588,113.149171165301,5.57875763363912,11.4790335581443,47.2806757956471,105.034616228989
DFW,February,9.52957048156467,5.11145320714343,187.822686681641,114.386592817107,5.54218484632663,11.3628267421076,45.0584835369528,101.887480079146
DFW,March,9.69280234759217,5.1803814613131,181.928793326751,111.243364816981,6.34462145981831,12.0612968461152,50.030975174575,104.409839863678
DFW,April,9.86343356619756,5.25393498430557,180.91107286288,109.480807464894,7.46459451250379,12.8975707942176,57.745199284533,109.875202992676
DFW,May,9.83445489803712,5.19642951995138,175.694321170945,105.339013388807,7.58289627274732,12.9518323989591,55.7694686957036,106.059353092996
DFW,June,9.73163969394645,5.15608873766405,172.574087406817,100.898856342802,7.3383850353947,12.8194579882238,52.7814024622016,103.296504939816
DFW,July,9.50624774812759,5.04156195576553,169.028839298719,97.402830881396,6.70577705888215,12.4417198566082,47.1295621976741,98.2191265132702
DFW,August,9.31600861643103,4.95043369542101,166.513235496738,94.8627021733755,6.21894270611047,12.1230453393935,43.6746524358892,95.2925482329828
DFW,September,9.07402541563156,4.90568921964917,163.550365469138,95.0273371441644,5.75637480890502,11.7626909106285,40.1286905216892,91.9394171846461
DFW,October,9.03668689966327,4.89977961491269,163.934237705076,96.0728356878265,5.64685377362393,11.6537272998979,39.6623084369113,92.0569843076877
DFW,November,9.01881953277616,4.90833696837338,165.197806685551,96.8454098499417,5.59334202127244,11.6011388299261,39.7675586110742,92.737798179382
