agent_id,eVTOL_type,simulation_type,algorithm_type,Number_of_conflicts,Desired_time_of_departure,Actual_time_of_departure,Ideal_time_of_arrival,Actual_time_of_arrival,Time_required_for_preflight_calculation,Average_time_to_plan_avoidance,Total_planning_time,Location_of_weather_statistics
1194854,vector_thrust,strategic,Decoupled,1,4770.0,4770.0,5582.776544497693,6142.8378378378375,0.1765308380126953,,,
1195401,vector_thrust,strategic,Decoupled,1,4360.0,4360.0,5172.776544497693,5832.8378378378375,0.1900537014007568,,,
1191657,vector_thrust,strategic,Decoupled,0,4080.0,4080.0,4892.776544497693,5472.8378378378375,0.2147777080535888,,,
1194666,vector_thrust,strategic,Decoupled,1,3400.0,3400.0,4212.776544497693,5512.8378378378375,0.1513011455535888,,,
1194589,vector_thrust,strategic,Decoupled,1,3400.0,3400.0,4212.776544497693,5142.8378378378375,0.1513011455535888,,,
1195638,vector_thrust,strategic,Decoupled,0,4630.0,4630.0,5442.776544497693,6232.8378378378375,0.2599389553070068,,,
1191813,vector_thrust,strategic,Decoupled,0,4080.0,4080.0,4892.776544497693,6232.8378378378375,0.2147777080535888,,,
1193660,vector_thrust,strategic,Decoupled,0,5130.0,5130.0,5942.776544497693,6102.8378378378375,0.3344995975494385,,,
1191740,vector_thrust,strategic,Decoupled,0,4080.0,4080.0,4892.776544497693,5882.8378378378375,0.2147777080535888,,,
1194481,vector_thrust,strategic,Decoupled,1,3400.0,3400.0,4212.776544497693,4432.8378378378375,0.1513011455535888,,,
1194625,vector_thrust,strategic,Decoupled,1,3400.0,3400.0,4212.776544497693,5322.8378378378375,0.1513011455535888,,,
1191531,vector_thrust,strategic,Decoupled,0,3110.0,3110.0,3922.7765444976926,4842.8378378378375,0.2738864421844482,,,
1191865,vector_thrust,strategic,Decoupled,0,4080.0,4080.0,4892.776544497693,6482.8378378378375,0.2147777080535888,,,
1191483,vector_thrust,strategic,Decoupled,0,3110.0,3110.0,3922.7765444976926,4402.8378378378375,0.2738864421844482,,,
1191460,vector_thrust,strategic,Decoupled,0,3110.0,3110.0,3922.7765444976926,4202.8378378378375,0.2738864421844482,,,
1194846,vector_thrust,strategic,Decoupled,1,3400.0,3400.0,4212.776544497693,6122.8378378378375,0.1513011455535888,,,
1191615,vector_thrust,strategic,Decoupled,0,4080.0,4080.0,4892.776544497693,5262.8378378378375,0.2147777080535888,,,
1194823,vector_thrust,strategic,Decoupled,1,4770.0,4770.0,5582.776544497693,6042.8378378378375,0.1765308380126953,,,
1195509,vector_thrust,strategic,Decoupled,0,4850.0,4850.0,5662.776544497693,5982.8378378378375,0.2126665115356445,,,
1190684,vector_thrust,strategic,Decoupled,0,5170.0,5170.0,5982.776544497693,6672.837837837838,0.2194859981536865,,,
1194494,vector_thrust,strategic,Decoupled,1,3400.0,3400.0,4212.776544497693,4552.8378378378375,0.1513011455535888,,,
1190878,vector_thrust,strategic,Decoupled,0,1260.0,1260.0,2072.7765444976926,2072.837837837838,0.1730177402496338,,,
1191574,vector_thrust,strategic,Decoupled,0,3110.0,3110.0,3922.7765444976926,5072.8378378378375,0.2738864421844482,,,
1191579,vector_thrust,strategic,Decoupled,0,4080.0,4080.0,4892.776544497693,5092.8378378378375,0.2147777080535888,,,
1194623,vector_thrust,strategic,Decoupled,1,3400.0,3400.0,4212.776544497693,5312.8378378378375,0.1513011455535888,,,
1195627,vector_thrust,strategic,Decoupled,0,4630.0,4630.0,5442.776544497693,6122.8378378378375,0.2599389553070068,,,
1195976,vector_thrust,strategic,Decoupled,0,5830.0,5830.0,6642.776544497692,6802.8378378378375,0.2821903228759765,,,
1195772,vector_thrust,strategic,Decoupled,0,2370.0,2370.0,3182.776544497693,3182.837837837838,0.3217511177062988,,,
