agent_id,eVTOL_type,simulation_type,algorithm_type,Number_of_conflicts,Desired_time_of_departure,Actual_time_of_departure,Ideal_time_of_arrival,Actual_time_of_arrival,Time_required_for_preflight_calculation,Average_time_to_plan_avoidance,Total_planning_time,Location_of_weather_statistics
1199956,vector_thrust,strategic,LocalVO,0,3270.0,3270.0,3739.2567567567567,3789.5472871693487,0.2960600852966308,,,
1201050,vector_thrust,strategic,LocalVO,0,4670.0,4670.0,5482.776544497692,5612.776544497692,0.0077698230743408,,,
1200051,vector_thrust,strategic,LocalVO,0,2810.0,2810.0,3279.2567567567567,3609.2567567567567,0.0046041011810302,,,
1201509,vector_thrust,strategic,LocalVO,2,2580.0,2580.0,3987.77027027027,5088.007771698132,0.0371630191802978,,,
1201626,vector_thrust,strategic,LocalVO,3,2400.0,2400.0,3641.536679415107,5651.536679415108,0.0185394287109375,,,
1201080,vector_thrust,strategic,LocalVO,0,960.0,960.0,1772.7765444976926,1772.7765444976926,0.0061681270599365,,,
1201052,vector_thrust,strategic,LocalVO,0,4670.0,4670.0,5482.776544497692,5632.776544497692,0.0077698230743408,,,
1200522,vector_thrust,strategic,LocalVO,1,2740.0,2740.0,3678.513513513513,3898.5135135135097,0.0074748992919921,,,
1201392,vector_thrust,strategic,LocalVO,3,2400.0,2400.0,3641.536679415107,4521.536679415108,0.0185394287109375,,,
1200442,vector_thrust,strategic,LocalVO,0,2820.0,2820.0,3758.513513513513,3948.513513513513,0.0090353488922119,,,
1201358,vector_thrust,strategic,LocalVO,2,2580.0,2580.0,3987.77027027027,4358.007771698132,0.0371630191802978,,,
1200577,vector_thrust,strategic,LocalVO,1,2740.0,2740.0,3678.513513513513,4368.51351351351,0.0074748992919921,,,
1200604,vector_thrust,strategic,LocalVO,0,3100.0,3100.0,4341.536679415107,4461.536679415107,0.0070276260375976,,,
1201691,vector_thrust,strategic,LocalVO,2,2580.0,2580.0,3987.77027027027,5958.007771698132,0.0371630191802978,,,
1201754,vector_thrust,strategic,LocalVO,2,2580.0,2580.0,3987.77027027027,6268.007771698132,0.0371630191802978,,,
1200668,vector_thrust,strategic,LocalVO,0,2350.0,2350.0,3975.5530889953857,3975.553088995385,0.0090811252593994,,,
1200119,vector_thrust,strategic,LocalVO,0,2870.0,2870.0,3808.513513513513,4028.5135135135097,0.0081300735473632,,,
1201784,vector_thrust,strategic,LocalVO,0,5470.0,5470.0,6408.513513513513,6408.513513513512,0.0073902606964111,,,
1200355,vector_thrust,strategic,LocalVO,1,2970.0,2970.0,4211.536679415107,4741.536679415108,0.0089418888092041,,,
1200899,vector_thrust,strategic,LocalVO,0,3440.0,3440.0,3909.2567567567567,4289.256756756757,0.0068700313568115,,,
1201232,vector_thrust,strategic,LocalVO,0,1580.0,1580.0,2518.5135135135133,2518.513513513513,0.0087552070617675,,,
